dataset,algorithm,method,f1_weighted,f1_intentional,accuracy,precision,recall,auc,runtime,n_labeled,n_test,pct_labeled,n_clusters,noise_count,silhouette,eps,min_samples,linkage,n_components,bic,aic,converged,min_cluster_size
twitter,hierarchical_average,LabelPropagation,0.8026,0.6336,0.8189,0.8646,0.5,0.7321,0.02,39,1060,3.55,15.0,0,0.2609,,,average,,,,,
twitter,hierarchical_average,LabelSpreading,0.7701,0.558,0.7953,0.8616,0.4127,0.6912,0.02,39,1060,3.55,15.0,0,0.2609,,,average,,,,,
twitter,gmm,RandomForest,0.9147,0.8604,0.9166,0.9331,0.7982,0.8855,0.25,68,1031,6.19,,0,0.3855,,,,15.0,-156689.08,-179193.78,True,
twitter,gmm,ClusterMajorityVote,0.8917,0.8222,0.8943,0.8968,0.759,0.8588,0.25,68,1031,6.19,,0,0.3855,,,,15.0,-156689.08,-179193.78,True,
twitter,gmm,KNN_k7,0.9341,0.8942,0.935,0.9402,0.8524,0.9133,0.25,68,1031,6.19,,0,0.3855,,,,15.0,-156689.08,-179193.78,True,
twitter,gmm,LabelPropagation,0.9128,0.8576,0.9146,0.9266,0.7982,0.8841,0.25,68,1031,6.19,,0,0.3855,,,,15.0,-156689.08,-179193.78,True,
twitter,gmm,LabelSpreading,0.8669,0.7722,0.8729,0.9136,0.6687,0.8193,0.25,68,1031,6.19,,0,0.3855,,,,15.0,-156689.08,-179193.78,True,
twitter,hdbscan,RandomForest,0.8703,0.8117,0.8669,0.729,0.9157,0.8801,0.08,40,1059,3.64,8.0,159,0.342,,5.0,,,,,,50.0
twitter,hdbscan,ClusterMajorityVote,0.8521,0.7262,0.864,0.9845,0.5753,0.7856,0.08,40,1059,3.64,8.0,159,0.342,,5.0,,,,,,50.0
twitter,hdbscan,KNN_k7,0.9058,0.8607,0.9037,0.7875,0.9488,0.9159,0.08,40,1059,3.64,8.0,159,0.342,,5.0,,,,,,50.0
twitter,hdbscan,LabelPropagation,0.8804,0.7932,0.8848,0.907,0.7048,0.8359,0.08,40,1059,3.64,8.0,159,0.342,,5.0,,,,,,50.0
twitter,hdbscan,LabelSpreading,0.8757,0.7828,0.881,0.9153,0.6837,0.8274,0.08,40,1059,3.64,8.0,159,0.342,,5.0,,,,,,50.0
