row_idx,column_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,intent_label,predicted_intent
4692,friends_count,0,,,0.9484261507882511,0.6548424476309236,1,0,0.266991997398235,1.0,0.5,1.0,0,0,89.0,0.9888888888888889,-1.0,89.0,0.0,4.499809670330265,0.0,1.0,2415.0,0.0,-1,-1.0
4700,friends_count,0,,,0.9484261507882511,0.7807648156553164,1,0,0.266991997398235,1.0,0.5,1.0,0,0,498.0,0.9979959919839679,-1.0,498.0,0.0,6.212606095751519,0.0,1.0,1812.0,0.0,-1,-1.0
20,statuses_count,1,,,0.9188582406082514,0.962391778054354,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,39.0,0.8297872340425532,-1.0,46.0,7.0,3.8501476017100584,2.0794415416798357,3.0,2383.0,3061.0,1,1.0
24,statuses_count,1,,,0.9188582406082514,0.982233772424558,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,412.0,0.9809523809523809,-1.0,419.0,7.0,6.040254711277414,2.0794415416798357,3.0,2234.0,3061.0,1,1.0
44,statuses_count,1,,,0.8238610860344233,0.8044712886180877,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,3996.0,0.05459762262604181,1.0,73189.0,77185.0,11.200814078595274,11.253973372417226,3.0,3138.0,3216.0,-1,-1.0
71,statuses_count,1,,,0.9188582406082514,0.9980488432180668,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,42.0,0.84,-1.0,49.0,7.0,3.912023005428146,2.0794415416798357,3.0,2491.0,3061.0,1,1.0
111,statuses_count,1,,,0.9188582406082514,0.9032674272162302,1,0,0.3232492372862846,1.0,0.5,1.0,0,0,140.0,0.9459459459459459,-1.0,147.0,7.0,4.997212273764115,2.0794415416798357,3.0,596.0,3061.0,1,1.0
115,statuses_count,1,,,0.9188582406082514,0.9742049272801622,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,564.0,0.986013986013986,-1.0,571.0,7.0,6.349138991379798,2.0794415416798357,3.0,2743.0,3061.0,1,1.0
132,statuses_count,1,,,0.9188582406082514,0.990655049102132,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,49.0,0.8596491228070176,-1.0,56.0,7.0,4.04305126783455,2.0794415416798357,3.0,2708.0,3061.0,1,1.0
144,statuses_count,1,,,0.9188582406082514,0.9725449938989972,2,1,0.3232492372862846,1.0,0.5,1.0,0,0,9.0,0.5294117647058824,-1.0,16.0,7.0,2.833213344056216,2.0794415416798357,3.0,723.0,3061.0,1,1.0
