row_idx,col,y_true,y_pred,delta_score
1411,ARANC_NAC,1,-1,0.0
1417,PRE_UNIT,1,1,1.3153332103258464
1427,ARANC_NAC,1,-1,0.0
1429,PRE_UNIT,1,1,0.03845054431991457
1430,PRE_UNIT,1,1,0.040955764836809294
1431,PRE_UNIT,1,1,0.03845054431988615
1435,PRE_UNIT,1,-1,-0.00040136464514262116
1436,PRE_UNIT,1,-1,0.0
1438,FOB,1,-1,0.0
1438,PRE_UNIT,1,-1,0.0
1456,FOB,1,1,6.294606849085696
1456,PRE_UNIT,1,-1,-1.9758619273384284
1477,PRE_UNIT,1,-1,-5.4087676147673847e-05
1478,PRE_UNIT,1,1,0.00016227180563532784
1485,PRE_UNIT,1,1,2.8438216303956665
1488,PRE_UNIT,1,1,1.9993020800997812
1489,PRE_UNIT,1,1,1.966732819194931
1492,PRE_UNIT,1,1,2.4972749413220185
1493,PRE_UNIT,1,1,3.0234927479719715
1495,PRE_UNIT,1,1,2.009480657006634
1504,ARANC_ALA,-1,-1,-0.004571172683313307
1505,ARANC_NAC,-1,-1,0.0
1506,TOT_PESO,-1,1,2.6532419646071617
1507,TOT_PESO,-1,1,2.6532419646072185
1509,ARANC_NAC,-1,-1,0.0
1515,ARANC_NAC,-1,-1,0.0
1516,ARANC_NAC,-1,-1,0.0
1522,PRE_UNIT,-1,1,4.022268123691134
1526,ARANC_NAC,-1,-1,0.0
1530,PRE_UNIT,-1,1,4.2115101233297025
1534,ARANC_NAC,-1,-1,0.0
1549,ARANC_NAC,-1,-1,0.0
1550,ARANC_NAC,-1,-1,0.0
1551,ARANC_NAC,-1,-1,0.0
1554,ARANC_NAC,-1,-1,0.0
1555,ARANC_NAC,-1,-1,0.0
1558,PRE_UNIT,-1,1,1.5934500499515707
1566,ARANC_NAC,-1,-1,0.0
1573,PRE_UNIT,-1,-1,0.0
1573,ARANC_NAC,-1,-1,0.0
1574,PRE_UNIT,-1,1,1.2657810916978178
