chunk_id,chunk_time_sec
593,6.167091769166291
594,1.3328602397814393
595,1.332074069418013
596,6.573069061152637
597,2.402670348994434
598,1.439651507884264
599,1.323443147353828
600,1.5222059190273285
601,1.3310722755268216
602,1.2343923076987267
603,5.6031208373606205
604,1.3284187512472272
605,5.3079046709463
606,1.4277487313374877
607,1.326939521357417
608,1.3374392623081803
609,1.4336711568757892
610,2.1184785524383187
611,1.2397741256281734
612,1.329568619839847
613,1.3454125691205263
614,1.5246848249807954
615,5.868456206284463
616,1.4315547095611691
617,1.3256552778184414
618,1.5220296792685986
619,1.4204119769856334
620,2.7898649340495467
621,1.616624154150486
622,1.3275443920865655
623,1.419909618794918
624,1.3119051707908511
625,1.4232260705903172
626,1.5217430191114545
627,1.4145669545978308
628,1.2310980148613453
629,1.2276081927120686
630,1.321381276473403
631,1.2359063662588596
632,1.3153932821005583
633,1.4332423778250813
634,1.7228083508089185
635,1.4204450761899352
636,1.3168055629357696
637,2.280225593596697
638,1.5167606165632606
639,1.3246081229299307
640,2.3102035224437714
641,2.9559307005256414
642,3.05559288803488
643,2.6832162886857986
644,2.6806463189423084
645,3.251008315011859
646,2.586224142462015
647,2.9579638661816716
648,2.764036194421351
649,2.888513984158635
650,2.816619406454265
651,2.890434654429555
652,2.402614939957857
653,2.782057175412774
654,2.883106146939099
655,2.997468564659357
656,3.173679486848414
657,3.1871219174936414
658,2.9890398401767015
659,2.9853550530970097
660,2.7907817866653204
661,3.6693897424265742
662,1.5179695328697562
663,1.3134388895705342
664,1.6121747056022286
665,1.6206708224490285
666,1.6135418601334095
667,1.6356506384909153
668,1.6122161280363798
669,1.6191618293523788
670,1.5288316877558827
671,1.4263720130547881
672,1.3324305238202214
673,1.5170335108414292
674,1.3363221995532513
675,1.4973034439608455
676,1.436784889549017
677,1.4251607432961464
678,6.576452227309346
679,1.4153075134381652
680,1.3500481955707073
681,1.3663793224841356
682,1.5500941630452871
683,1.3759742779657245
684,1.364226763136685
685,1.2364583341404796
686,1.2987783616408706
687,1.4197628712281585
688,1.36265663895756
689,6.045769950374961
690,1.5040594134479761
691,1.5513253388926387
692,6.058900270611048
693,1.4391675787046552
694,1.3765120608732104
695,1.4362244494259357
696,1.5503669092431664
697,1.557716286741197
698,1.439678804948926
699,1.2533117970451713
700,1.498629879206419
701,1.4367036996409297
702,1.4211096558719873
703,1.4870273899286985
704,1.3583182198926806
705,1.487385026179254
706,1.413334395736456
707,1.3831015303730965
708,1.4444300988689065
709,1.5672366861253977
710,1.4246311727911234
711,1.4476489294320345
712,1.4250911194831133
713,1.428062661550939
714,1.426844828762114
715,1.332866407930851
716,2.5560065302997828
717,1.305566655471921
718,1.4313308373093605
719,1.3042141711339355
720,1.379143739119172
721,1.4105381080880761
722,1.3897166792303324
