row_idx,col_name,h1_plausible,h2_min_edit_distance,h2_is_obfuscation,h3_distribution_score,h4_coherence_score,h5_error_count,h5_codependent_flag,h6_column_importance,h7_mutability,h7_gain_direction,h7_comprehensibility,h8_is_sensitive,h8_is_majority_value,stat_change_magnitude,stat_relative_change,stat_change_direction,stat_original_magnitude,stat_new_magnitude,stat_original_log,stat_new_log,stat_feature_name_encoded,stat_original_value_encoded,stat_new_value_encoded,true_label
2897,followers_count,0,,,0.9509922096633139,0.9972712666719029,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,4591.0,0.9997822299651568,-1.0,4591.0,0.0,8.432070937999402,0.0,1.0,2205.0,0.0,0
2909,followers_count,0,,,0.9509922096633139,0.9999974084303316,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,46.0,0.9787234042553191,-1.0,46.0,0.0,3.8501476017100584,0.0,1.0,2207.0,0.0,0
2932,followers_count,0,,,0.9509922096633139,0.9996732958971636,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,124.0,0.992,-1.0,124.0,0.0,4.8283137373023015,0.0,1.0,320.0,0.0,0
2992,followers_count,0,,,0.7927156841145896,0.9982229181302331,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,194960.0,0.050378002983506476,-1.0,3869942.0,3674982.0,15.168750336215325,15.117059064768034,1.0,1954.0,1866.0,0
2994,followers_count,0,,,0.9509922096633139,0.9998927476958733,3,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,3065.0,0.9996738421395955,-1.0,3065.0,0.0,8.028129059431759,0.0,1.0,1583.0,0.0,0
3008,followers_count,0,,,0.9509922096633139,0.999300129204989,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,4676.0,0.9997861877271755,-1.0,4676.0,0.0,8.450412157725886,0.0,1.0,2228.0,0.0,0
3075,followers_count,0,,,0.9509922096633139,0.9999990948846232,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,26.0,0.9629629629629629,-1.0,26.0,0.0,3.295836866004329,0.0,1.0,1344.0,0.0,0
3137,followers_count,0,,,0.9509922096633139,0.9999438132223838,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,130.0,0.9923664122137404,-1.0,130.0,0.0,4.875197323201151,0.0,1.0,379.0,0.0,0
3159,followers_count,0,,,0.9509922096633139,0.9734155545652959,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,83015.0,0.9999879541293245,-1.0,83015.0,0.0,11.326788639285114,0.0,1.0,3042.0,0.0,0
3162,followers_count,0,,,0.9509922096633139,0.9999967044517053,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,2.0,0.6666666666666666,-1.0,2.0,0.0,1.0986122886681098,0.0,1.0,1008.0,0.0,0
3202,followers_count,0,,,0.9509922096633139,0.9999525317269099,2,1,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,98.0,0.98989898989899,-1.0,98.0,0.0,4.59511985013459,0.0,1.0,3295.0,0.0,0
3229,followers_count,0,,,0.9509922096633139,0.9871978856550974,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,28966.0,0.999965477957676,-1.0,28966.0,0.0,10.273912529999025,0.0,1.0,1498.0,0.0,0
3240,followers_count,0,,,0.9509922096633139,0.9838536042465724,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,132119.0,0.9999924311232213,-1.0,132119.0,0.0,11.791465879504726,0.0,1.0,411.0,0.0,0
3254,followers_count,0,,,0.004660811160064338,0.24608832828650662,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,193438.0,0.012752722458162773,-1.0,15168368.0,14974930.0,16.534722830712678,16.521888094275706,1.0,608.0,589.0,0
3261,followers_count,0,,,0.9509922096633139,0.7843303574043434,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,212959.0,0.9999953042824944,-1.0,212959.0,0.0,12.268859633628939,0.0,1.0,1091.0,0.0,0
3302,followers_count,0,,,0.9509922096633139,0.9992976691478113,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,21709.0,0.9999539382772916,-1.0,21709.0,0.0,9.985528262872338,0.0,1.0,1112.0,0.0,0
3363,followers_count,0,,,0.9509922096633139,0.9999584729970751,1,0,0.5945106001948467,1.0,0.29964761999387135,1.0,0,0,837.0,0.9988066825775657,-1.0,837.0,0.0,6.731018100482083,0.0,1.0,3057.0,0.0,0
